ts_recv,raw_symbol,expiration,instrument_class,strike_price,underlying,instrument_id,time,diff
1712275200000000000,"ESZ4 C5100",1734705000000000000,"C",5100.0,"ESZ4",434835,1721398215586,1
1712275200000000000,"UD:1V: VT 2622890",1712354340000000000,"T",9223372036.854776,"",2622890,1721398215586,1
1712275200000000000,"UD:1V: GT 2519583",1712354340000000000,"T",9223372036.854776,"",2519583,1721398215586,1
1712275200000000000,"ESU5 C1300",1758288600000000000,"C",1300.0,"ESU5",42196475,1721398215586,1
1712275200000000000,"ESZ7 C4800",1829053800000000000,"C",4800.0,"ESZ7",686759,1721398215586,1
1712275200000000000,"ESZ6 P3900",1797604200000000000,"P",3900.0,"ESZ6",189508,1721398215586,1
1712275200000000000,"UD:1V: VT 2528764",1712354340000000000,"T",9223372036.854776,"",2528764,1721398215586,1
1712275200000000000,"UD:1V: VT 2519102",1712354340000000000,"T",9223372036.854776,"",2519102,1721398215586,1
1712275200000000000,"ESZ8 C3500",1860503400000000000,"C",3500.0,"ESZ8",42340952,1721398215586,1
1712275200000000000,"UD:1V: GN 2503102",1712354340000000000,"T",9223372036.854776,"",2503102,1721398215586,1
1712275200000000000,"ESU4 C4850",1726839000000000000,"C",4850.0,"ESU4",42154879,1721398215586,1
1712275200000000000,"ESZ8 C2600",1860503400000000000,"C",2600.0,"ESZ8",42341577,1721398215586,1
1712275200000000000,"ESM5 P4900",1750426200000000000,"P",4900.0,"ESM5",357300,1721398215586,1
1712346857830611386,"UD:1V: ST 2803084",1712354340000000000,"T",9223372036.854776,"",2803084,1721398215586,1
1712275200000000000,"ESM4 C2650",1718976600000000000,"C",2650.0,"ESM4",42212486,1721398215586,1
1712275200000000000,"ESZ5 C4700",1766154600000000000,"C",4700.0,"ESZ5",434904,1721398215586,1
1712275200000000000,"ESZ7 P5400",1829053800000000000,"P",5400.0,"ESZ7",718730,1721398215586,1
1712275200000000000,"UD:1V: VT 2765656",1712354340000000000,"T",9223372036.854776,"",2765656,1721398215586,1
1712275200000000000,"ESH6 C5100",1774013400000000000,"C",5100.0,"ESH6",42427505,1721398215586,1
1712275200000000000,"ESH5 C5500",1742563800000000000,"C",5500.0,"ESH5",204974,1721398215586,1
1712275200000000000,"UD:1V: VT 2510144",1712354340000000000,"T",9223372036.854776,"",2510144,1721398215586,1
1712275200000000000,"ESM5 P6500",1750426200000000000,"P",6500.0,"ESM5",4109544,1721398215586,1
1712275200000000000,"ESZ5 C2400",1766154600000000000,"C",2400.0,"ESZ5",340589,1721398215586,1
1712275200000000000,"ESH6 P4300",1774013400000000000,"P",4300.0,"ESH6",42430450,1721398215586,1
1712275200000000000,"UD:1V: VT 2509154",1712354340000000000,"T",9223372036.854776,"",2509154,1721398215586,1
1712275200000000000,"ESM4 C4475",1718976600000000000,"C",4475.0,"ESM4",42428990,1721398215586,1
1712275200000000000,"ESU5 P2000",1758288600000000000,"P",2000.0,"ESU5",42197589,1721398215586,1
1712275200000000000,"ESZ8 C1800",1860503400000000000,"C",1800.0,"ESZ8",42342787,1721398215586,1
1712275200000000000,"ESH5 C7200",1742563800000000000,"C",7200.0,"ESH5",42226752,1721398215586,1
1712322750531558510,"UD:1V: 12 2788957",1712354340000000000,"T",9223372036.854776,"",2788957,1721398215586,1
1712275200000000000,"ESU4 P2200",1726839000000000000,"P",2200.0,"ESU4",739083,1721398215586,1
1712275200000000000,"ESU4 P1100",1726839000000000000,"P",1100.0,"ESU4",657911,1721398215586,1
1712275200000000000,"ESZ6 C6300",1797604200000000000,"C",6300.0,"ESZ6",571476,1721398215586,1
1712275200000000000,"ESM5 P1400",1750426200000000000,"P",1400.0,"ESM5",570187,1721398215586,1
1712275200000000000,"ESH5 C7000",1742563800000000000,"C",7000.0,"ESH5",42307149,1721398215586,1
1712319508038447284,"UD:1V: VT 2786389",1712354340000000000,"T",9223372036.854776,"",2786389,1721398215586,1
1712275200000000000,"ESZ4 P1200",1734705000000000000,"P",1200.0,"ESZ4",583673,1721398215586,1
1712275200000000000,"ESU5 P3800",1758288600000000000,"P",3800.0,"ESU5",42195926,1721398215586,1
1712275200000000000,"ESZ8 P3600",1860503400000000000,"P",3600.0,"ESZ8",42342180,1721398215586,1
1712275200000000000,"ESM5 P5600",1750426200000000000,"P",5600.0,"ESM5",781743,1721398215586,1
1712275200000000000,"ESZ4 P3550",1734705000000000000,"P",3550.0,"ESZ4",42322536,1721398215586,1
1712275200000000000,"UD:1V: VT 2623376",1712354340000000000,"T",9223372036.854776,"",2623376,1721398215586,1
1712275200000000000,"ESU4 C3750",1726839000000000000,"C",3750.0,"ESU4",42202843,1721398215586,1
1712275200000000000,"ESH6 C5900",1774013400000000000,"C",5900.0,"ESH6",42427506,1721398215586,1
1712275200000000000,"UD:1V: IC 2622804",1712354340000000000,"T",9223372036.854776,"",2622804,1721398215586,1
